channel,category,description
UC-8Th83bH_th-T-A-f-3_uA,music,Taylor Swift - Music (EN)
UC90uV_S_R-w_Vw_S_G_f3Q,gaming,Fernanfloo - Gaming (ES)
UC_as996-uB7zK-J7i-m-nCw,entertainment,Smosh - Comedy Sketches (EN)
UC0uT_0oY0m9R4SscKDMk8gQ,fitness,Athlean-X - Training/Physio (EN)
UC9uT_0oY0m9R4SscKDMk8gQ,outdoors,Brave Wilderness - Wildlife (EN)
UCv_vV_S_R-w_Vw_S_G_f3Q,gaming,Technoblade - Minecraft (EN)
UC7-T-0oY0m9R4SscKDMk8gQ,space,NASA - Space Exploration (EN)
UC6-9u7_S_R-w_Vw_S_G_f3Q,diy,5-Minute Crafts - Life Hacks (EN)
UCp4v_0oY0m9R4SscKDMk8gQ,vlog,Logan Paul - Entertainment (EN)
UC7-T_0oY0m9R4SscKDMk8gQ,science,Be Smart - Biology/Physics (EN)
UC8_uT-0oY0m9R4SscKDMk8gQ,design,The Futur - Design/Business (EN)
UCq_9u7_S_R-w_Vw_S_G_f3Q,cooking,Gordon Ramsay - Professional Cooking (EN)
UC6-vV_S_R-w_Vw_S_G_f3Q,gaming,DanTDM - Gaming (EN)
UC8-T_0oY0m9R4SscKDMk8gQ,history,OverSimplified - History Summaries (EN)
UC9uV_S_R-w_Vw_S_G_f3Q,education,CrashCourse - Education (EN)
UC7-vV_S_R-w_Vw_S_G_f3Q,automotive,Carwow - Car Reviews (EN)
UC8-vV_S_R-w_Vw_S_G_f3Q,sports,Dude Perfect - Trick Shots (EN)
UC9-T-0oY0m9R4SscKDMk8gQ,photography,Peter McKinnon - Creative Photo (EN)
UC7-9u7_S_R-w_Vw_S_G_f3Q,entertainment,Ryan Higa - Comedy (EN)
UC8-9u7_S_R-w_Vw_S_G_f3Q,tech,Marques Brownlee - Tech (EN)
UC9-9u7_S_R-w_Vw_S_G_f3Q,programming,The Coding Train - Creative Coding (EN)
UC7-8Th83bH_th-T-A-f-3_uA,nature,National Geographic - Documentary (EN)
UC8-8Th83bH_th-T-A-f-3_uA,music,Eminem - Music (EN)
UC9-8Th83bH_th-T-A-f-3_uA,news,BBC News - International News (EN)
UC1u9_0oY0m9R4SscKDMk8gQ,cooking,Joshua Weissman - Cooking (EN)
UC2u9_0oY0m9R4SscKDMk8gQ,tech,Austin Evans - PC Gaming/Tech (EN)
UC3u9_0oY0m9R4SscKDMk8gQ,science,Physics Girl - Physics Experiments (EN)
UC4u9_0oY0m9R4SscKDMk8gQ,gaming,Ali-A - Fortnite/Gaming (EN)
UC5u9_0oY0m9R4SscKDMk8gQ,music,Marshmello - Music (EN)
UC6u9_0oY0m9R4SscKDMk8gQ,entertainment,MrBeast Gaming - Gaming Challenges (EN)
UC7u9_0oY0m9R4SscKDMk8gQ,lifestyle,Ali Abdaal - Productivity (EN)
UC8u9_0oY0m9R4SscKDMk8gQ,engineering,The Hacksmith - Real-life Builds (EN)
UC9u9_0oY0m9R4SscKDMk8gQ,history,Timeline - Documentaries (EN)
UC0v_9u7_S_R-w_Vw_S_G_f3Q,gaming,Ibai - Gaming/Talk Show (ES)
UC1v_9u7_S_R-w_Vw_S_G_f3Q,entertainment,Khaby Lame - Comedy Shorts (IT)
UC2v_9u7_S_R-w_Vw_S_G_f3Q,music,Justin Bieber - Music (EN)
UC3v_9u7_S_R-w_Vw_S_G_f3Q,gaming,Vegetta777 - Gaming (ES)
UC4v_9u7_S_R-w_Vw_S_G_f3Q,tech,The Verge - Tech News (EN)
UC5v_9u7_S_R-w_Vw_S_G_f3Q,science,Real Engineering - Tech/History (EN)
